,opp,games,pass_cmp,pass_att,pass_yds,pass_td,pass_int,two_pt,sacks,rush_att,rush_yds,rush_td,DK_pt,DK_ptg
0,WAS,8,204,303,2391,20,4,0,19,35,217,2,214.4,26.8
1,KAN,9,198,298,2407,15,7,1,12,53,276,4,216,24
2,IND,9,214,308,2471,23,10,2,19,40,184,0,206.2,22.9
13,DAL,8,192,291,2300,14,11,2,16,32,106,3,180.6,22.6
3,MIA,9,232,357,2670,17,6,0,17,34,140,1,198.8,22.1
8,SFO,8,169,246,1751,12,2,2,18,46,274,4,177,22.1
15,TAM,8,218,320,2110,16,10,1,17,33,137,2,174.1,21.8
9,ATL,8,189,279,1990,17,3,1,11,39,248,0,171.4,21.4
14,JAX,8,199,274,2293,11,4,0,15,31,165,2,171.2,21.4
4,TEN,9,230,364,2562,16,9,0,23,39,151,2,191.6,21.3
17,BAL,8,186,294,2373,14,5,0,15,14,64,1,169.3,21.2
6,HOU,9,193,292,2374,16,9,0,19,39,90,4,191,21.2
21,MIN,8,176,285,2115,12,7,3,27,37,221,1,165.7,20.7
5,CLE,9,191,305,2203,17,5,1,27,33,80,3,185.1,20.6
16,DET,8,151,222,2071,15,4,1,14,41,164,0,162.2,20.3
7,CHI,9,181,280,2227,16,4,1,25,34,69,3,180,20
11,CIN,9,234,348,2471,12,7,1,23,39,185,1,180.3,20
25,NOR,8,187,297,2311,12,11,0,18,27,127,1,160.1,20
12,NYG,9,230,339,2347,16,9,0,19,27,103,2,178.8,19.9
23,SEA,8,210,323,2297,12,3,0,14,30,140,0,158.9,19.9
10,PHI,9,231,306,2244,16,6,1,17,42,96,2,176.4,19.6
19,NYJ,8,198,288,2257,12,1,1,18,25,60,1,156.3,19.5
20,LAR,9,236,348,2434,10,12,2,28,31,146,3,168,18.7
24,PIT,8,176,272,2085,12,3,0,22,32,122,1,147.6,18.5
18,GNB,9,201,309,2049,15,9,1,21,41,257,1,162.7,18.1
26,LVR,8,184,281,1766,12,4,2,20,44,218,1,144.4,18.1
22,CAR,9,174,272,1784,13,7,1,23,36,148,3,157.8,17.5
29,NWE,9,187,314,2214,12,13,0,19,33,93,2,149.9,16.7
27,ARI,9,199,311,2032,13,7,0,25,38,203,1,148.6,16.5
28,DEN,9,174,305,2156,11,7,0,22,26,109,1,146.1,16.2
30,LAC,8,156,237,1679,10,6,2,14,38,211,0,129.3,16.2
31,BUF,8,157,271,1513,5,11,1,18,34,114,3,100.7,12.6
