,opp,games,rec_tgt,rec,rec_yds,rec_td,DK_pt,DK_ptg
0,PHI,9,81,67,597,8,176.7,19.6
3,BAL,8,75,52,595,6,153.5,19.2
6,LAC,8,70,51,535,5,136.5,17.1
5,LAR,8,56,42,565,5,136.5,17.1
4,IND,9,71,55,544,6,152.4,16.9
1,HOU,9,68,48,580,6,149.6,16.6
2,KAN,9,61,48,617,6,148.7,16.5
8,NYJ,8,61,44,518,4,124.3,15.5
13,TAM,8,71,53,446,4,121.6,15.2
10,JAX,8,54,42,491,4,117.6,14.7
7,LVR,9,75,53,548,3,129.8,14.4
12,DAL,8,54,42,466,4,112.6,14.1
9,MIA,9,65,48,585,3,127.1,14.1
14,WAS,8,65,47,541,2,113.1,14.1
18,SFO,8,59,45,416,3,109.7,13.7
11,GNB,9,62,48,461,4,119,13.2
17,ATL,8,56,40,417,4,104.7,13.1
15,NYG,9,69,48,460,4,116,12.9
21,PIT,8,57,39,449,2,95.9,12
16,CAR,9,69,40,379,4,103.9,11.5
19,CLE,9,57,36,368,4,99,11
22,DET,8,43,31,418,2,87.8,11
20,CIN,9,57,37,389,3,93.9,10.4
25,BUF,8,46,31,347,2,78,9.8
23,SEA,8,42,30,272,3,77.2,9.7
31,NOR,8,62,37,341,0,72,9
26,TEN,9,60,33,271,3,79.1,8.8
28,MIN,8,50,30,378,0,69.8,8.7
27,CHI,9,52,31,269,3,75.9,8.4
29,ARI,9,51,34,326,1,74.6,8.3
30,DEN,9,52,35,367,0,71.7,8
24,NWE,9,46,22,241,2,67.3,7.5
